Suburb,Address,Rooms,Type,Price,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname
Albert Park,29 Faussett St,2,h,2120000.0,10/09/2016,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,Southern Metropolitan
Albert Park,24 Kerferd Pl,3,h,1800000.0,10/09/2016,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,Southern Metropolitan
Albert Park,5 Withers St,3,h,,10/09/2016,3.3,3.0,1.0,0.0,126.0,88.0,1910.0,-37.8427,144.9515,Southern Metropolitan
Albert Park,2 Dundas Pl,3,h,2615000.0,10/12/2016,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,Southern Metropolitan
Albert Park,4a Gatehouse La,3,h,1370000.0,12/06/2016,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,Southern Metropolitan
Albert Park,140 Danks St,2,h,,13/08/2016,3.3,2.0,1.0,2.0,366.0,117.0,1900.0,-37.847,144.9506,Southern Metropolitan
Albert Park,65 Graham St,2,h,1322500.0,15/10/2016,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,Southern Metropolitan
Albert Park,364 Montague St,2,h,1562500.0,15/10/2016,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,Southern Metropolitan
Albert Park,86 Mills St,3,h,2000000.0,16/04/2016,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,Southern Metropolitan
Albert Park,97 Page St,3,h,3010000.0,18/03/2017,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,Southern Metropolitan
Albert Park,55 Withers St,4,h,2800000.0,18/06/2016,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,Southern Metropolitan
Albert Park,55 Merton St,3,h,2100000.0,23/04/2016,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,Southern Metropolitan
Albert Park,16 Dinsdale St,3,h,,24/09/2016,3.3,3.0,2.0,1.0,241.0,119.0,1990.0,-37.8452,144.9518,Southern Metropolitan
Albert Park,49 Page St,3,h,2000000.0,24/09/2016,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,Southern Metropolitan
Albert Park,13/52 Moubray St,1,u,442500.0,25/02/2017,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,Southern Metropolitan
Albert Park,115 Page St,4,h,4735000.0,25/02/2017,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,Southern Metropolitan
Albert Park,27 Barrett St,4,h,2140000.0,27/06/2016,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,Southern Metropolitan
Albert Park,6 Brooke St,2,h,980000.0,28/05/2016,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,Southern Metropolitan
Albert Park,7 Herbert Pl,2,h,,28/05/2016,3.3,2.0,1.0,0.0,99.0,65.0,1900.0,-37.8438,144.9588,Southern Metropolitan
Albert Park,8 Kerferd Pl,4,h,,28/05/2016,3.3,4.0,2.0,0.0,230.0,185.0,1900.0,-37.842,144.958,Southern Metropolitan
Albert Park,17 Reed St,3,h,1740000.0,28/08/2016,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,Southern Metropolitan
Albert Park,9 Durham St,1,h,985000.0,30/07/2016,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,Southern Metropolitan
Alphington,30 Austin St,3,h,,3/09/2016,6.4,3.0,2.0,1.0,174.0,122.0,2003.0,-37.7818,145.0198,Northern Metropolitan
Alphington,6 Smith St,4,h,2000000.0,3/09/2016,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,Northern Metropolitan
Alphington,44 Shiers St,4,h,1717500.0,8/10/2016,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,Northern Metropolitan
Alphington,83 Fulham Rd,5,h,2840000.0,12/06/2016,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,Northern Metropolitan
Alphington,3/19 Harker St,2,u,525500.0,12/11/2016,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,Northern Metropolitan
Alphington,4/2 Miller St,2,t,805000.0,12/11/2016,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,Northern Metropolitan
Alphington,10 Bennett St,4,h,1830000.0,19/11/2016,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,Northern Metropolitan
Alphington,38 Bennett St,4,h,2100000.0,19/11/2016,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,Northern Metropolitan
Alphington,2c Hamilton St,3,h,865000.0,22/05/2016,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,Northern Metropolitan
Alphington,5/5 Yarana Rd,2,u,390000.0,22/05/2016,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314,Northern Metropolitan
Alphington,1/14 Fulham Rd,2,u,512000.0,25/02/2017,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262,Northern Metropolitan
Alphington,11 Margaret Gr,4,h,1900000.0,27/11/2016,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,Northern Metropolitan
Alphington,21 Como St,5,h,,28/08/2016,6.4,5.0,2.0,2.0,552.0,211.0,1916.0,-37.7829,145.0337,Northern Metropolitan
Alphington,42 Shiers St,4,h,1950000.0,30/07/2016,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,Northern Metropolitan
Altona,158 Queen St,3,h,520000.0,3/09/2016,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,Western Metropolitan
Altona,59 Bracken Gr,5,h,1525000.0,3/12/2016,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,Western Metropolitan
Altona,1/123 Blyth St,2,t,720000.0,4/02/2016,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,Western Metropolitan
Altona,4 Blyth St,3,h,1120000.0,4/03/2017,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,Western Metropolitan
Altona,29 Rose St,4,h,1780000.0,4/06/2016,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,Western Metropolitan
Altona,1/170 Blyth St,3,u,630000.0,6/08/2016,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,Western Metropolitan
Altona,156 Maidstone St,3,h,660000.0,7/05/2016,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,Western Metropolitan
Altona,1/136 Queen St,2,u,580000.0,8/10/2016,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,Western Metropolitan
Altona,173 Queen St,3,h,1335000.0,8/10/2016,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,Western Metropolitan
Altona,3/26 Grieve Pde,2,u,510000.0,10/09/2016,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,Western Metropolitan
Altona,4/5 Rose St,2,u,425000.0,10/09/2016,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,Western Metropolitan
Altona,4/31 Millers Rd,2,u,391000.0,11/02/2017,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,-37.8678,144.8384,Western Metropolitan
Altona,24 Wren St,4,h,845000.0,11/02/2017,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,Western Metropolitan
Altona,4/57 Blyth St,3,u,730000.0,13/08/2016,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,Western Metropolitan
Altona,3/46 Sargood St,2,u,447000.0,15/10/2016,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,Western Metropolitan
Altona,22 Fenfield St,3,h,678000.0,16/04/2016,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,Western Metropolitan
Altona,5/8 David St,2,u,580000.0,16/07/2016,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,Western Metropolitan
Altona,27 McIntyre Dr,3,h,840000.0,18/03/2017,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,Western Metropolitan
Altona,3/20 Mulga St,3,u,577000.0,23/04/2016,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,Western Metropolitan
Altona,2/5 Rose St,2,u,,25/02/2017,13.8,2.0,1.0,1.0,117.0,58.0,1980.0,-37.871,144.8185,Western Metropolitan
Altona,104 Maidstone St,2,h,857000.0,27/11/2016,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,Western Metropolitan
Altona,2/60 David St,2,h,535600.0,30/07/2016,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272,Western Metropolitan
Altona North,1 Beuron Rd,3,h,,3/09/2016,11.1,3.0,1.0,1.0,620.0,108.0,1950.0,-37.829,144.84799999999996,Western Metropolitan
Altona North,45 Hearn St,5,h,1085000.0,3/09/2016,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567,Western Metropolitan
Altona North,4 Knapp St,3,h,781000.0,3/09/2016,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835,Western Metropolitan
Altona North,3/66 Marion St,2,t,421000.0,4/03/2017,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,Western Metropolitan
Altona North,33 Carthy St,3,h,683000.0,4/06/2016,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,Western Metropolitan
Altona North,1/5 Little St,3,h,720000.0,6/08/2016,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,-37.8379,144.8583,Western Metropolitan
Altona North,1/95 Mills St,3,h,588000.0,7/05/2016,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,-37.838,144.8555,Western Metropolitan
Altona North,5 Binns St,3,h,710000.0,7/11/2016,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,-37.8294,144.8378,Western Metropolitan
Altona North,25 Allan St,4,h,875000.0,8/10/2016,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,-37.8448,144.8529,Western Metropolitan
Altona North,45 Freemans Rd,4,h,,10/12/2016,11.1,4.0,2.0,5.0,537.0,196.0,1960.0,-37.8261,144.8391,Western Metropolitan
Altona North,2/36 May St,3,h,675000.0,14/05/2016,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,-37.8337,144.8554,Western Metropolitan
Altona North,11 Beevers St,3,h,708000.0,15/10/2016,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,-37.8258,144.8523,Western Metropolitan
Altona North,4/63 Marion St,1,u,,19/11/2016,11.1,1.0,1.0,1.0,0.0,46.0,1970.0,-37.8355,144.85299999999995,Western Metropolitan
Altona North,252 Millers Rd,4,h,693000.0,22/05/2016,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,-37.8391,144.8467,Western Metropolitan
Altona North,1/156 Chambers Rd,3,h,620000.0,22/08/2016,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443,Western Metropolitan
Altona North,2 Gadsden St,3,h,728500.0,22/08/2016,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,-37.8277,144.8385,Western Metropolitan
Altona North,24 Hansen St,3,h,931000.0,22/08/2016,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,-37.8382,144.8649,Western Metropolitan
Altona North,6 Hill St,3,h,815000.0,25/02/2017,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,-37.8318,144.8388,Western Metropolitan
Altona North,5 Cresser St,4,h,1200000.0,27/11/2016,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,-37.8375,144.8541,Western Metropolitan
Altona North,4/221 Blackshaws Rd,2,u,292000.0,28/08/2016,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649,Western Metropolitan
Armadale,8/19 Mercer Rd,2,u,599000.0,3/09/2016,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,-37.8543,145.0262,Southern Metropolitan
Armadale,14/71 Denbigh Rd,3,u,995000.0,3/12/2016,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,-37.8552,145.016,Southern Metropolitan
Armadale,4/769 High St,3,t,1205000.0,3/12/2016,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135,Southern Metropolitan
Armadale,12 Huntingtower Rd,3,h,,3/12/2016,6.3,3.0,2.0,2.0,588.0,168.0,1930.0,-37.8546,145.0245,Southern Metropolitan
Armadale,7 Llaneast St,3,h,1939000.0,3/12/2016,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,-37.8614,145.0274,Southern Metropolitan
Armadale,28 Cambridge St,3,h,1870000.0,4/03/2017,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182,Southern Metropolitan
Armadale,3/20 Mercer Rd,3,t,1918000.0,4/03/2017,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,-37.8537,145.0267,Southern Metropolitan
Armadale,12 Willis St,3,h,2050000.0,4/03/2017,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281,Southern Metropolitan
Armadale,3/10 Denbigh Rd,2,u,,4/06/2016,6.3,2.0,1.0,1.0,0.0,65.0,1970.0,-37.8596,145.0156,Southern Metropolitan
Armadale,9/19 Mercer Rd,3,u,735000.0,7/05/2016,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,-37.8543,145.0262,Southern Metropolitan
Armadale,557 Orrong Rd,4,h,,7/05/2016,6.3,4.0,2.0,2.0,369.0,176.0,1930.0,-37.8548,145.0113,Southern Metropolitan
Armadale,5/68 Rose St,3,t,,7/05/2016,6.3,2.0,2.0,1.0,175.0,158.0,1970.0,-37.8515,145.02,Southern Metropolitan
Armadale,11/38 Wattletree Rd,2,u,,7/05/2016,6.3,2.0,1.0,1.0,0.0,65.0,1970.0,-37.8613,145.0184,Southern Metropolitan
Armadale,10 William St,1,h,1435000.0,8/10/2016,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,-37.8564,145.0228,Southern Metropolitan
Armadale,11 Adelaide St,4,h,,10/09/2016,6.3,3.0,4.0,2.0,662.0,292.0,1920.0,-37.8549,145.0276,Southern Metropolitan
Armadale,15/405 Dandenong Rd,1,u,280000.0,10/09/2016,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,-37.8619,145.0185,Southern Metropolitan
Armadale,54 Denbigh Rd,4,h,,10/12/2016,6.3,4.0,2.0,2.0,551.0,208.0,1890.0,-37.8566,145.0161,Southern Metropolitan
Armadale,47 Northcote Rd,3,h,,10/12/2016,6.3,3.0,2.0,0.0,246.0,204.0,1890.0,-37.8533,145.0169,Southern Metropolitan
Armadale,8/58 Sutherland Rd,2,u,592500.0,10/12/2016,6.3,2.0,1.0,1.0,0.0,73.0,1970.0,-37.8574,145.0174,Southern Metropolitan
Armadale,6A Munro St,3,h,,12/11/2016,6.3,3.0,2.0,1.0,242.0,143.0,1915.0,-37.8534,145.0185,Southern Metropolitan
Armadale,40 New St,2,h,1210000.0,12/11/2016,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,-37.8543,145.016,Southern Metropolitan
Armadale,35 Northcote Rd,4,h,2801000.0,12/11/2016,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,-37.8536,145.0173,Southern Metropolitan
Armadale,7/17 Myamyn St,3,u,,13/08/2016,6.3,3.0,2.0,3.0,0.0,203.0,2006.0,-37.8555,145.0291,Southern Metropolitan
Armadale,595 Orrong Rd,3,h,,13/08/2016,6.3,2.0,2.0,2.0,292.0,146.0,1910.0,-37.8523,145.0116,Southern Metropolitan
Armadale,3 Wattletree Rd,3,h,,14/05/2016,6.3,3.0,2.0,1.0,482.0,182.0,1930.0,-37.8606,145.0157,Southern Metropolitan
Armadale,2b Denbigh Rd,3,h,,15/10/2016,6.3,3.0,2.0,1.0,228.0,111.0,1915.0,-37.8603,145.0155,Southern Metropolitan
Armadale,791 High St,3,h,1800000.0,15/10/2016,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145,Southern Metropolitan
Armadale,25 Llaneast St,4,h,2200000.0,15/10/2016,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,-37.8613,145.0264,Southern Metropolitan
Armadale,17/579 Dandenong Rd,2,u,,16/07/2016,6.3,2.0,1.0,1.0,0.0,80.0,1966.0,-37.8646,145.0247,Southern Metropolitan
Armadale,367 Dandenong Rd,6,h,5525000.0,17/09/2016,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,-37.8602,145.013,Southern Metropolitan
Armadale,10 Egerton Rd,4,h,,17/09/2016,6.3,2.0,2.0,2.0,449.0,232.0,1900.0,-37.8628,145.0226,Southern Metropolitan
Armadale,10/581 Orrong Rd,1,u,440000.0,18/03/2017,6.3,1.0,1.0,1.0,0.0,53.0,1970.0,-37.8531,145.0115,Southern Metropolitan
