Suburb,Address,Rooms,Price,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
Airport West,138 Victory Rd,3,1042000.0,Nelson,16/07/2016,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan
Airport West,6 Kittyhawk St,4,773000.0,Brad,17/09/2016,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan
Airport West,478 Fullarton Rd,3,810000.0,Barry,18/03/2017,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan
Airport West,144 Marshall Rd,3,715000.0,Rendina,18/03/2017,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan
Airport West,10 Hilbert Rd,3,685000.0,Barry,22/05/2016,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan
Airport West,85 Roberts Rd,4,900000.0,Harcourts,27/11/2016,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan
Albert Park,105 Kerferd Rd,2,1275000.0,hockingstuart,3/09/2016,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan
Albert Park,112 Beaconsfield Pde,3,2850000.0,Buxton,4/03/2017,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan
Albert Park,94 Graham St,3,1850000.0,Greg,4/03/2017,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan
Albert Park,396 Montague St,2,1436000.0,RT,4/03/2017,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan
Albert Park,104 Richardson St,4,2300000.0,Marshall,7/05/2016,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan
Albert Park,1 Moubray St,3,1800000.0,Greg,7/11/2016,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan
Albert Park,29 Faussett St,2,2120000.0,Greg,10/09/2016,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan
Albert Park,24 Kerferd Pl,3,1800000.0,Marshall,10/09/2016,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan
Albert Park,2 Dundas Pl,3,2615000.0,Cayzer,10/12/2016,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan
Albert Park,4a Gatehouse La,3,1370000.0,Greg,12/06/2016,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan
Albert Park,65 Graham St,2,1322500.0,Greg,15/10/2016,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan
Albert Park,364 Montague St,2,1562500.0,Greg,15/10/2016,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan
Albert Park,86 Mills St,3,2000000.0,RT,16/04/2016,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan
Albert Park,97 Page St,3,3010000.0,Greg,18/03/2017,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan
Albert Park,55 Withers St,4,2800000.0,Cayzer,18/06/2016,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan
Albert Park,55 Merton St,3,2100000.0,Marshall,23/04/2016,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan
Albert Park,49 Page St,3,2000000.0,Marshall,24/09/2016,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan
Albert Park,115 Page St,4,4735000.0,Marshall,25/02/2017,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan
Albert Park,27 Barrett St,4,2140000.0,Greg,27/06/2016,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan
Albert Park,6 Brooke St,2,980000.0,Greg,28/05/2016,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan
Albert Park,17 Reed St,3,1740000.0,Marshall,28/08/2016,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan
Albert Park,9 Durham St,1,985000.0,Marshall,30/07/2016,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan
Alphington,6 Smith St,4,2000000.0,Brace,3/09/2016,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin City Council,-37.7707,145.0318,Northern Metropolitan
Alphington,44 Shiers St,4,1717500.0,Collins,8/10/2016,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin City Council,-37.7717,145.031,Northern Metropolitan
Alphington,83 Fulham Rd,5,2840000.0,Nelson,12/06/2016,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin City Council,-37.775,145.0268,Northern Metropolitan
Alphington,10 Bennett St,4,1830000.0,Nelson,19/11/2016,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin City Council,-37.7743,145.0316,Northern Metropolitan
Alphington,38 Bennett St,4,2100000.0,Nelson,19/11/2016,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin City Council,-37.7723,145.0319,Northern Metropolitan
Alphington,2c Hamilton St,3,865000.0,hockingstuart,22/05/2016,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin City Council,-37.7802,145.0243,Northern Metropolitan
Alphington,11 Margaret Gr,4,1900000.0,McGrath,27/11/2016,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Darebin City Council,-37.7844,145.0225,Northern Metropolitan
Alphington,42 Shiers St,4,1950000.0,Jellis,30/07/2016,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin City Council,-37.7719,145.0309,Northern Metropolitan
Altona,158 Queen St,3,520000.0,Greg,3/09/2016,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan
Altona,59 Bracken Gr,5,1525000.0,Greg,3/12/2016,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan
Altona,4 Blyth St,3,1120000.0,Barlow,4/03/2017,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan
Altona,29 Rose St,4,1780000.0,Greg,4/06/2016,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan
Altona,156 Maidstone St,3,660000.0,Greg,7/05/2016,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan
Altona,173 Queen St,3,1335000.0,hockingstuart,8/10/2016,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan
Altona,24 Wren St,4,845000.0,hockingstuart,11/02/2017,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan
Altona,22 Fenfield St,3,678000.0,hockingstuart,16/04/2016,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan
Altona,27 McIntyre Dr,3,840000.0,Greg,18/03/2017,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan
Altona,104 Maidstone St,2,857000.0,hockingstuart,27/11/2016,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan
Altona,2/60 David St,2,535600.0,Compton,30/07/2016,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan
Altona North,45 Hearn St,5,1085000.0,FN,3/09/2016,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan
Altona North,4 Knapp St,3,781000.0,Jas,3/09/2016,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan
Altona North,33 Carthy St,3,683000.0,FN,4/06/2016,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan
Altona North,1/5 Little St,3,720000.0,Greg,6/08/2016,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan
Altona North,1/95 Mills St,3,588000.0,Williams,7/05/2016,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan
Altona North,5 Binns St,3,710000.0,Village,7/11/2016,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan
Altona North,25 Allan St,4,875000.0,Jas,8/10/2016,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan
Altona North,2/36 May St,3,675000.0,hockingstuart,14/05/2016,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan
Altona North,11 Beevers St,3,708000.0,Greg,15/10/2016,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay City Council,-37.8258,144.8523,Western Metropolitan
Altona North,252 Millers Rd,4,693000.0,Raine&Horne,22/05/2016,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan
Altona North,1/156 Chambers Rd,3,620000.0,Hunter,22/08/2016,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan
Altona North,2 Gadsden St,3,728500.0,Jas,22/08/2016,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay City Council,-37.8277,144.8385,Western Metropolitan
Altona North,24 Hansen St,3,931000.0,hockingstuart,22/08/2016,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan
Altona North,6 Hill St,3,815000.0,hockingstuart,25/02/2017,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan
Altona North,5 Cresser St,4,1200000.0,RT,27/11/2016,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay City Council,-37.8375,144.8541,Western Metropolitan
Armadale,7 Llaneast St,3,1939000.0,Jellis,3/12/2016,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington City Council,-37.8614,145.0274,Southern Metropolitan
Armadale,28 Cambridge St,3,1870000.0,Hodges,4/03/2017,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington City Council,-37.8592,145.0182,Southern Metropolitan
Armadale,12 Willis St,3,2050000.0,Marshall,4/03/2017,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,Stonnington City Council,-37.8574,145.0281,Southern Metropolitan
Armadale,10 William St,1,1435000.0,Jellis,8/10/2016,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,Stonnington City Council,-37.8564,145.0228,Southern Metropolitan
Armadale,40 New St,2,1210000.0,Marshall,12/11/2016,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,Stonnington City Council,-37.8543,145.016,Southern Metropolitan
Armadale,35 Northcote Rd,4,2801000.0,Marshall,12/11/2016,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,Stonnington City Council,-37.8536,145.0173,Southern Metropolitan
Armadale,791 High St,3,1800000.0,RT,15/10/2016,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,Stonnington City Council,-37.8545,145.0145,Southern Metropolitan
Armadale,25 Llaneast St,4,2200000.0,Jellis,15/10/2016,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,Stonnington City Council,-37.8613,145.0264,Southern Metropolitan
Armadale,367 Dandenong Rd,6,5525000.0,Marshall,17/09/2016,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,Stonnington City Council,-37.8602,145.013,Southern Metropolitan
Armadale,14 New St,3,1300000.0,Jellis,18/06/2016,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,Stonnington City Council,-37.8542,145.0149,Southern Metropolitan
Armadale,63 Denbigh Rd,3,1900000.0,Marshall,22/05/2016,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,Stonnington City Council,-37.8559,145.0158,Southern Metropolitan
Armadale,75 Sutherland Rd,3,1285000.0,Marshall,25/02/2017,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,Stonnington City Council,-37.8554,145.0173,Southern Metropolitan
Armadale,44 Denbigh Rd,4,3625000.0,Jellis,27/11/2016,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,Stonnington City Council,-37.8574,145.016,Southern Metropolitan
Armadale,44 Hampden Rd,4,4200000.0,Kay,27/11/2016,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,Stonnington City Council,-37.8582,145.0138,Southern Metropolitan
Armadale,4 Mercer Rd,3,3512500.0,Marshall,27/11/2016,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,Stonnington City Council,-37.8557,145.0264,Southern Metropolitan
Ascot Vale,30 Rothwell St,3,940000.0,Nelson,3/12/2016,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,Moonee Valley City Council,-37.7777,144.9195,Western Metropolitan
Ascot Vale,7 Francis St,3,1380000.0,Nelson,4/03/2017,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,Moonee Valley City Council,-37.7777,144.9221,Western Metropolitan
Ascot Vale,44 The Parade,4,1850000.0,Brad,4/03/2017,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,Moonee Valley City Council,-37.7729,144.9179,Western Metropolitan
Ascot Vale,98 Epsom Rd,3,971000.0,Nelson,4/06/2016,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,Moonee Valley City Council,-37.775,144.9091,Western Metropolitan
Ascot Vale,8 Geddes St,2,710000.0,Nelson,4/06/2016,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,Moonee Valley City Council,-37.7776,144.9142,Western Metropolitan
Ascot Vale,75 Maribyrnong Rd,6,2425000.0,Brad,4/06/2016,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,Moonee Valley City Council,-37.7721,144.9184,Western Metropolitan
Ascot Vale,119 Roseberry St,2,750000.0,Maddison,4/06/2016,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,Moonee Valley City Council,-37.7745,144.9093,Western Metropolitan
Ascot Vale,10 Fenton St,2,1053000.0,Nelson,6/08/2016,5.9,2.0,1.0,1.0,269.0,109.0,1900.0,Moonee Valley City Council,-37.7748,144.929,Western Metropolitan
Ascot Vale,10 McCully St,3,1377000.0,Nelson,6/08/2016,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,Moonee Valley City Council,-37.7756,144.9208,Western Metropolitan
Ascot Vale,120 Epsom Rd,3,970000.0,Brad,7/05/2016,5.9,3.0,1.0,2.0,350.0,125.0,1904.0,Moonee Valley City Council,-37.7759,144.91,Western Metropolitan
Ascot Vale,63 Kent St,2,751000.0,Nelson,7/05/2016,5.9,2.0,1.0,1.0,118.0,79.0,1890.0,Moonee Valley City Council,-37.7807,144.9288,Western Metropolitan
Ascot Vale,4 The Parade,2,950000.0,Raine,7/05/2016,5.9,2.0,1.0,1.0,173.0,102.0,1900.0,Moonee Valley City Council,-37.7731,144.9206,Western Metropolitan
Ascot Vale,41 Monash St,3,1230000.0,Nelson,8/10/2016,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,Moonee Valley City Council,-37.7819,144.9064,Western Metropolitan
Ascot Vale,51 Francis St,2,770000.0,Nelson,10/09/2016,5.9,2.0,1.0,1.0,226.0,87.0,1900.0,Moonee Valley City Council,-37.7774,144.9186,Western Metropolitan
Ascot Vale,12 Mirams St,4,890000.0,Raine,10/12/2016,5.9,4.0,1.0,1.0,300.0,185.0,1890.0,Moonee Valley City Council,-37.7766,144.9143,Western Metropolitan
Ascot Vale,78 The Parade,3,1440000.0,Nelson,11/02/2017,5.9,3.0,1.0,1.0,487.0,131.0,1900.0,Moonee Valley City Council,-37.7725,144.9146,Western Metropolitan
Ascot Vale,26 Newsom St,3,1000000.0,Brad,12/11/2016,5.9,3.0,2.0,2.0,440.0,120.0,1955.0,Moonee Valley City Council,-37.7746,144.9031,Western Metropolitan
Ascot Vale,8 Pentland St,3,1435000.0,Nelson,12/11/2016,5.9,3.0,2.0,2.0,532.0,147.0,1950.0,Moonee Valley City Council,-37.7737,144.904,Western Metropolitan
Ascot Vale,52 Monash St,3,1425000.0,Jellis,13/08/2016,5.9,3.0,2.0,2.0,495.0,139.0,1920.0,Moonee Valley City Council,-37.7821,144.9055,Western Metropolitan
Ascot Vale,58 Fenton St,4,1340000.0,Nelson,14/05/2016,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,Moonee Valley City Council,-37.775,144.93200000000002,Western Metropolitan
Ascot Vale,70 Munro St,3,955000.0,Brad,14/05/2016,5.9,3.0,1.0,1.0,263.0,117.0,1910.0,Moonee Valley City Council,-37.7753,144.9116,Western Metropolitan
Ascot Vale,125 Epsom Rd,4,1100000.0,Nelson,15/10/2016,5.9,4.0,2.0,5.0,559.0,195.0,1920.0,Moonee Valley City Council,-37.7791,144.9136,Western Metropolitan
Ascot Vale,7 Angler Pde,4,1640000.0,Raine,16/04/2016,5.9,4.0,3.0,2.0,562.0,204.0,1890.0,Moonee Valley City Council,-37.782,144.903,Western Metropolitan
Ascot Vale,26 Ayr St,6,1430000.0,Nelson,16/04/2016,5.9,4.0,2.0,1.0,461.0,286.0,1900.0,Moonee Valley City Council,-37.78,144.9295,Western Metropolitan
Ascot Vale,57 The Parade,3,940000.0,Nelson,16/04/2016,5.9,3.0,3.0,1.0,491.0,127.0,1950.0,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan
Ascot Vale,62 Mirams St,3,890000.0,Brad,16/07/2016,5.9,3.0,1.0,1.0,242.0,110.0,1920.0,Moonee Valley City Council,-37.7765,144.9114,Western Metropolitan
Ascot Vale,67 Hurtle St,3,1180000.0,Brad,17/09/2016,5.9,3.0,2.0,2.0,617.0,149.0,1930.0,Moonee Valley City Council,-37.7742,144.906,Western Metropolitan
Ascot Vale,95 Walter St,4,1480000.0,Raine,17/09/2016,5.9,4.0,2.0,2.0,597.0,180.0,1939.0,Moonee Valley City Council,-37.7757,144.9088,Western Metropolitan
Ascot Vale,21A Geddes St,3,1037500.0,Alexkarbon,19/11/2016,5.9,3.0,1.0,2.0,506.0,110.0,1920.0,Moonee Valley City Council,-37.7779,144.9133,Western Metropolitan
Ascot Vale,43 Bloomfield Rd,4,1430000.0,Nelson,22/05/2016,5.9,4.0,2.0,0.0,418.0,158.0,1900.0,Moonee Valley City Council,-37.7766,144.9187,Western Metropolitan
Ascot Vale,21 Middle St,3,1130000.0,Nelson,23/04/2016,5.9,3.0,2.0,1.0,272.0,157.0,1900.0,Moonee Valley City Council,-37.7774,144.928,Western Metropolitan
Ascot Vale,78 Francis St,3,1135000.0,Brad,24/09/2016,5.9,3.0,1.0,1.0,296.0,104.0,1910.0,Moonee Valley City Council,-37.777,144.9176,Western Metropolitan
Ascot Vale,25 Geddes St,4,950000.0,Nelson,24/09/2016,5.9,4.0,2.0,1.0,298.0,147.0,1920.0,Moonee Valley City Council,-37.7778,144.9131,Western Metropolitan
Ascot Vale,15 Mirams St,4,1345000.0,Jellis,25/02/2017,5.9,4.0,1.0,1.0,552.0,155.0,1920.0,Moonee Valley City Council,-37.7769,144.9138,Western Metropolitan
Ascot Vale,44 Walter St,3,1381500.0,Barry,25/02/2017,5.9,3.0,2.0,2.0,416.0,168.0,1900.0,Moonee Valley City Council,-37.7727,144.9055,Western Metropolitan
Ascot Vale,25 Dalgety Dr,3,940000.0,Jellis,26/07/2016,5.9,3.0,2.0,2.0,285.0,172.0,2011.0,Moonee Valley City Council,-37.7778,144.9061,Western Metropolitan
Ascot Vale,7 Dalgety Dr,3,995000.0,Nelson,26/07/2016,5.9,3.0,2.0,1.0,314.0,177.0,2010.0,Moonee Valley City Council,-37.7778,144.9042,Western Metropolitan
Ascot Vale,6 Waller Ct,3,786000.0,Brad,26/07/2016,5.9,3.0,2.0,1.0,576.0,120.0,1940.0,Moonee Valley City Council,-37.7816,144.9217,Western Metropolitan
Ascot Vale,17 Ascot St,2,705000.0,Nelson,27/06/2016,5.9,2.0,1.0,3.0,252.0,108.0,1910.0,Moonee Valley City Council,-37.7825,144.9206,Western Metropolitan
Ascot Vale,73 Kent St,2,760000.0,Nelson,27/06/2016,5.9,2.0,1.0,1.0,124.0,77.0,1900.0,Moonee Valley City Council,-37.7807,144.9285,Western Metropolitan
Ascot Vale,1 Bloomfield Rd,3,1305000.0,Barry,28/05/2016,5.9,2.0,1.0,1.0,278.0,166.0,1900.0,Moonee Valley City Council,-37.7768,144.9223,Western Metropolitan
